;Data;Suma przebadanych osób;Nowe przebadne osoby;Suma wykonanych testów;Dobowa liczba wykonanych testów;Dobowa liczba wykonanych testów antygenowych;% testów antygenowych w dobowej liczbie wykonanych testów;Suma zleceń POZ;Dobowa liczba zleceń POZ;zmiana tygodniowa dobowej liczby zleceń POZ;Suma osób z wynikiem pozytywnym;Dobowa liczba osób z wynikiem pozywnym;% osób z wynikiem pozytywnym (w ogólnej liczbie testów);% osób z wynikiem pozytywnym (w ogólnej liczbie przebadanych osób);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie testów);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie nowych przebadanych osób);Suma wyników negatywnych i powtórnie pozytywnych;Wyniki negatywne i powtórnie pozywyne;;7-dniowa średnia dobowej liczby wykonanych testów;7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów);;! UWAGI ;! W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o ~230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy próbek nie zostały skorygowane.                                                            ! Brak raportu za dzień 25.07, podano tylko zaokrągloną liczbę przebadanych próbek.      ! Zmiana godziny raportowania.                                                                                                                                                                                                                              ! Do raportu dodano liczbę przebadanych osób.                                                                                                                                                                                                                                                                                                                                                                               ! Brak raportów za dzień 06.03 i 15.03   ! W związku ze zmianą systemu raportowania i korektami MZ, suma przypadków może nie być zgodna z sumą w zakałdce 'Wzrost';;;;;;;;;;;;;
;02.03;↓;↓;559;n/a;;;↓;;;0;0;0.00%;↓;0.00%;↓;559;n/a;;138;1.40%;;;;;;;;;;;;;;;;
;03.03;;;584;25;;;;;;1;1;0.17%;;4.00%;;583;24;;;;;;;;;;;;;;;;;;;
;04.03;;;676;92;;;;;;1;0;0.15%;;0.00%;;675;92;;;;;;;;;;;;;;;;;;;
;05.03;;;855;179;;;;;;1;0;0.12%;;0.00%;;854;179;;;;;;;;;;;;;;;;;;;
!;06.03;;;855;0;;;;;;1;0;0.12%;;0.00%;;854;0;;;;;;;;;;;;;;;;;;;
;07.03;;;1154;299;;;;;;8;7;0.69%;;2.34%;;1146;292;;;;;;;;;;;;;;;;;;;
;08.03;;;1384;230;;;;;;16;8;1.16%;;3.48%;;1368;222;;;;;;;;;;;;;;;;;;;
;09.03;;;1630;246;;;;;;17;1;1.04%;;0.41%;;1630;262;;153;1.46%;;;;;;;;;;;;;;;;
;10.03;;;2024;394;;;;;;25;8;1.24%;;2.03%;;1999;369;;206;1.18%;;;;;;;;;;;;;;;;
;11.03;;;2234;210;;;;;;47;22;2.10%;;10.48%;;2187;188;;223;2.68%;;;;;;;;;;;;;;;;
;12.03;;;2889;655;;;;;;58;11;2.01%;;1.68%;;2831;644;;291;2.92%;;;;;;;;;;;;;;;;
;13.03;;;4414;1525;;;;;;93;35;2.11%;;2.30%;;4321;1490;;508;3.24%;;;;;;;;;;;;;;;;
;14.03;;;5493;1079;;;;;;111;18;2.02%;;1.67%;;5382;1061;;620;3.15%;;;;;;;;;;;;;;;;
!;15.03;;;5493;0;;;;;;111;0;2.02%;;0.00%;;5382;0;;587;2.65%;;;;;;;;;;;;;;;;
;16.03;;;7899;2406;;;;;;205;94;2.60%;;3.91%;;7694;2312;;896;3.15%;;;;;;;;;;;;;;;;
;17.03;;;9515;1616;;;;;;246;41;2.59%;;2.54%;;9269;1575;;1 070;3.22%;;;;;;;;;;;;;;;;
;18.03;;;11196;1681;;;;;;305;59;2.72%;;3.51%;;10891;1622;;1 280;2.23%;;;;;;;;;;;;;;;;
;19.03;;;13072;1876;;;;;;378;73;2.89%;;3.89%;;12694;1803;;1 455;2.54%;;;;;;;;;;;;;;;;
;20.03;;;15084;2012;;;;;;452;74;3.00%;;3.68%;;14632;1938;;1 524;2.74%;;;;;;;;;;;;;;;;
;21.03;;;17607;2523;;;;;;563;111;3.20%;;4.40%;;17044;2412;;1 731;3.13%;;;;;;;;;;;;;;;;
;22.03;;;20127;2520;;;;;;649;86;3.22%;;3.41%;;19478;2434;;2 091;3.62%;;;;;;;;;;;;;;;;
;23.03;;;22898;2771;;;;;;774;125;3.38%;;4.51%;;22124;2646;;2 143;3.71%;;;;;;;;;;;;;;;;
;24.03;;;26244;3346;;;;;;957;183;3.65%;;5.47%;;25287;3163;;2 390;4.12%;;;;;;;;;;;;;;;;
;25.03;;;29564;3320;;;;;;1085;128;3.67%;;3.86%;;28479;3192;;2 624;4.17%;;;;;;;;;;;;;;;;
;26.03;;;34067;4503;;;;;;1244;159;3.65%;;3.53%;;32823;4344;;2 999;4.12%;;;;;;;;;;;;;;;;
;27.03;;;38674;4607;;;;;;1436;192;3.71%;;4.17%;;37238;4415;;3 370;4.19%;;;;;;;;;;;;;;;;
;28.03;;;42783;4109;;;;;;1717;281;4.01%;;6.84%;;41066;3828;;3 597;4.54%;;;;;;;;;;;;;;;;
;29.03;;;46607;3824;;;;;;1905;188;4.09%;;4.92%;;44702;3636;;3 783;4.76%;;;;;;;;;;;;;;;;
